SN,Field Name,vOCS,Field Type,Description
1,SerialNo,SERIAL_NUMBER,Integer[8],"Indicates the serial number.
It is generated by the system and the serial number
is exclusive.
The default value is 0.
Not null
"
2,SubSequence,SUB_SEQUENCE,Integer[4],"Indicates the sequence number when the bill is split
for mid-night and end of the bill cycle.
The default value is 0.
Can be null"
3,TimeStamp,TIME_STAMP,Char[14],"Indicates the timestamp of the bill item generation.
Format: YYYYMMDDhhmmss
Not null"
4,ServiceKey,SERVICE_KEY,Integer[4],"Indicates the service key of the intelligent service
to which the subscriber subscribes.
The default value is 1.
Can be null"
5,CallingPartyNumber,CALLING_NBR,Char[64],"Indicates the calling number.
The number format are as follows:

??Country code + Area number + PSTN
The number format is the format of the fixed-
line phone number.
??Country code + MSISDN
The number format is the format of the mobile
phone number.
??For?URI?format, example,
ABC_DE@huawei.com
[a,z],[A,Z],[0,9],_,-,.,@.
Can be null
"
6,CalledPartyNumber,CALLED_NBR,Char[64],"Indicates the called number.
The number format are as follows:

??Country code + Area number + PSTN
The number format is the format of the fixed-
line phone number.
??Country code + MSISDN
The number format is the format of the mobile
phone number.
??For?URI?format, example,
ABC_DE@huawei.com
[a,z],[A,Z],[0,9],_,-,.,@.
Can be null"
7,CallingPartyIMSI,CALLING_IMSI,Char[64],"Indicates the IMSI of calling party.
When the SCP transfers an IMSI, the value of this

field is the IMSI transferred.
When the SCP does not transfer an IMSI, the value
of this field is the value of the corresponding field
in the attribute table of the charged subscriber.
The value is Null when the relevant value cannot
be obtained.
Value range: numerals within 0-9, *, #
Can be null"
8,CalledPartyIMSI,CALLED_IMSI,Char[64],"Indicates the IMSI of called party.
When the SCP transfers an IMSI, the value of this

field is the IMSI transferred.
When the SCP does not transfer an IMSI, the value
of this field is the value of the corresponding field
in the attribute table of the charged subscriber.
The value is Null when the relevant value cannot
be obtained.
Value range: numerals within 0-9, *, #
Can be null"
9,DialedNumber,DIALED_NUMBER,Char[64],"Indicates the original number that the calling party
dials in the calling process.
It is valid in MO process.
The number can be the URI format. Example:
ABC_DE@huawei.com.
[a,z],[A,Z],[0,9],_,-,.,@.
Can be null"
10,OriginalCalledParty,CALLED_NBR,Char[64],"Indicates the original called number in a
forwarding process.
Special number reroute. International number
form in call forwarding, actual call number in
special number reroute, filling in original called
number when dialed through an international
gateway office.
The number can be the URI format. Example:
ABC_DE@huawei.com.
[a,z],[A,Z],[0,9],_,-,.,@.
Can be null"
11,ServiceFlow,SERVICE_FLOW,Char[1],"Indicates the call process indicator.
The options are as follows:
??1: calling process
??2: called process
??3: forward flow
Not null"
