SN,Field Name,vOCS,Field Type,Description
1,SerialNo,SERIAL_NUMBER,Integer[8],"Indicates the serial number.
It is generated by the system and the serial
number is exclusive.
Not null"
2,SubSequence,SUB_SEQUENCE,Integer[4],"Indicates the sequence number when the bill
is split. For example, special requirement of
splitting on mid-night and end of the bill
cycle.
The default value is 0.
Can be null"
3,TimeStamp,TIME_STAMP,Char[14],"Indicates the timestamp of the bill item
generation.
Format: YYYYMMDDhhmmss
Not null"
4,ServiceKey,SERVICE_KEY,Integer[4],"Indicates the service key of the intelligent
service to which the subscriber subscribes to.
The default value is 1.
Not null"
5,CallingPartyNumber,CALLING_NBR,Char[64],"Indicates the calling number. The number
format are as follows:
??Country code + Area number + PSTN
The number format is the format of the
fixed-line phone number.
??Country code + MSISDN
The number format is the format of the
mobile phone number.
??For?URI?format, example,
ABC_DE@huawei.com
[a,z],[A,Z],[0,9],_,-,.,@.
Not null"
6,APN,APN,Char[64],"Indicates the access point.
Can be null"
7,URL,URL,Char[22],"Indicates the accessed URL.
Can be null"
8,CallingPartyIMSI,CALLING_IMSI,Char[64],"Indicates the IMSI of calling party.
??When the SCP transfers an IMSI, the
value of this field is the IMSI transferred
??When the SCP does not transfer an IMSI,
the value of this field is the value of the
corresponding field in the attribute table
of the charged subscriber.
??The value is?Null?when the relevant value
cannot be obtained.
Value range: numerals within 0-9, *, #
Can be null"
9,AccessNetworkAddress,ACCESS_NETWORK_ADDRESS,Char[22],"Indicates the address of access network.
For GPRS, it refers to the SGSN.

For WLAN, it refers to the Hotspot ID.
Can be null"
10,GGSNAddress,GGSN_ADDRESS,Char[22],"Indicates the address of GGSN.
Value range: numerals within 0-9, *, #
Can be null"
11,CallingRoamInfo,CALLING_VLR_NBR,Char[20],"Indicates the information used to analyze the
roaming state of calling party.
It can be the location number, MSC address,
VLR number, and so on. The actual value is
related with the service configuration.
Value range: numerals within 0-9, *, #
Can be null"
12,CallingCellID,CELL_A,Char[20],"Indicates the cell ID of the calling party,
which is directly filled in according to the
IDP report.
Value range: numerals within 0-9, *, #
Can be null"
13,TimeStampOfSGSN,TIMESTAMP_OF_SSP,Char[14],"Indicates the start time of the service
reported by the SGSN or external network
elements.
Format: YYYYMMDDhhmmss
Can be null"
14,TimeZoneOfSGSN,TIME_ZONE_OF_SSP,Integer[4],"Indicates the time zone in which the SGSN
or external network elements locate.
Value range: -48-48
NOTE
The value -48 is not included.
Can be null"
15,BearerCapability,BEARERCAPABILITY,Char[32],-
16,ChargingTime,EVENT_BEGIN_TIME,Char[14],"Indicates the time stamp of the charging
beginning.
Format: YYYYMMDDhhmmss
Can be null"
17,TotalFlux,BYTES,Integer[8],"Indicates the total traffic.
Unit: byte
Not null
The default value is 0."
18,UpFlux,UP_DATA,Integer[8],"Indicates the upstream traffic.
Unit: byte
Not null
The default value is 0."
19,DownFlux,DOWN_DATA,Integer[8],"Indicates the downstream traffic.
Unit: byte
Not null
The default value is 0."
20,ElapseDuration,ELAPSE_DURATION,Integer[4],"Indicates the duration of using GPRS
service.
Unit: second
Not null
The default value is 0."
21,TerminationReason,TEMINATION_REASON,Integer[4],"Indicates the reason why the call cannot be
connected.
The options are as follows:
??1: hang up
??2: insufficient balance
??3: over maximum duration
??99: other reasons
The default value is 0.
Can be null"
22,IMEI,IMEI,Char[24],"A unique number which shall be allocated to
each individual mobile station equipment.
Value range: numerals within 0-9
Can be null"
23,TransitionID,TRANSITION_ID,Char[32],"Indicates the sequence number of a
transaction.
Can be null"
24,ServiceID,SERVICE_ID,Char[20],"Indicates the service ID of the SP.
Can be null"
25,SPID,SPID,Char[20],"Indicates the SP ID or CP ID.
Can be null"
26,CategoryID,CATEGORY_ID,Char[20],"The number of the category.
Can be null"
27,ContentID,CONTENT_ID,Char[20],"The number of the content.
Can be null"
28,QoS,QOS,Char[40],"Service quality.
Can be null"
29,OriginalNetworkType,OPPOSE_NUMBER_TYPE,Char[20],"Indicates the type of the original network.
The options are as follows:

??1: PSTN
??2: Mobile
??3: Native Unknown
??4: International Unknown
??Other to be extended
Can be null"
30,DiameterSessionID,SESSION_ID,Char[128],"Indicates a diameter session ID.
The format is as follows:
<DiameterIdentity>;<high 32 bits>;<low 32
bits>[;<optional value>]
??<DiameterIdentity>: the same as the
field in the Origin-Host AVP.
??<high 32 bits>: indicates the current time
of the system.
??<low 32 bits>: indicates the cycle count-
up. The initial value is 0. When you
restart the system, set the value to 0.
??<optional value>: indicates
implementation specific but may include
a modem's device Id, a layer 2 address,
timestamp, etc.
Separate the preceding fields with the
character "";"".
For example: SCP001.huawei.com;
1876543210;523
Can be null"
31,BrandID,BRAND_ID,Integer[4],"Indicates the brand ID of subscribers.
Not null
The default value is 0."
32,SubCOSID,MAIN_OFFER,Integer[4],"Indicates the main product ID of subscribers.
Not null
The default value is 0."
33,ChargingPartyNumber,CHARGE_PARTY,Char[64],"Indicates the telephone number of the
charging party.
The number is same as calling party number
in MO and called party number in MT.
There are several special situations. Like
Child-Parent card feature, the calling party
number is the child, the charging party
number is the parent's number. This field is
null when the service is paid only by
account.
The number format are as follows:
??Country code + Area number + PSTN
The number format is the format of the
fixed-line phone number.
??Country code + MSISDN
The number format is the format of the
mobile phone number.
??For?URI?format, example,
ABC DE@huawei.com
[a,z],[A,Z],[0,9],_,-,.,@.
Not null"
34,PayType,PAY_TYPE,Char[1],"Indicates the pay type of subscribers.
The options are as follows:
??0: Prepaid
??1: Postpaid
??2: Hybrid
Can be null"
35,BillCycleID,BILLING_CYCLE_ID,Char[20],"Indicates the bill cycle ID.
Format: YYYYMMTT
??YYYY: indicates the year.
??MM: indicates the month.
??TT: indicates the type of a bill cycle.
Value range: numerals within 0-9.
Can be null"
36,ChargingType,CHARGING_TYPE,Char[1],"Indicates the charging type.
The current version supports the following
types:
??0: based on duration
??1: based on traffic
Can be null"
37,ResultCode,RESULT_CODE,Integer[4],"Indicates the internal result code.
Value range: -2^31-2^31-1
The default value is 0.
Can be null"
38,RoamState,ROAM_STATE,Char[1],"Indicates the roaming state of charging
party.
The options are as follows:
??0: No roaming
??1: Roaming within charging area
??2: Roaming out of charging area
??3: International Roaming
The default value is 0.
Can be null"
39,CallingHomeCountryCode,CALLING_HOME_COUNTRY_CODE,Integer[4],"Indicates the home country code information
of calling party.
>=0, -1, 0 or 9999 means unknown.
The default value is 0.
Can be null"
40,CallingHomeAreaNumber,CALLING_HOME_AREA_NUMBER,Integer[4],"Indicates the home area number of the
calling party.
>=0, -1, 0 or 9999 means unknown.
The default value is 0.
Can be null"
41,CallingHomeNetworkCode,CALLING_HOME_NETWORK_CODE,Integer[4],"Indicates the home network code of the
calling party.
>=0, -1, 0 or 9999 means unknown.
The default value is 0.
Can be null"
42,CallingRoamCountryCode,CALLING_ROAM_COUNTRY_CODE,Integer[4],"Indicates the roam country code of the
calling party.
>=0, -1, 0 or 9999 means unknown.
The default value is 0.
Can be null"
43,CallingRoamAreaNumber,CALLING_ROAM_AREA_NUMBER,Integer[4],"Indicates the roam area number of the calling
party.
>=0, -1, 0 or 9999 means unknown.
The default value is 0.
Can be null"
44,CallingRoamNetworkCode,CALLING_ROAM_NETWORK_CODE,Integer[4],"Indicates the roam network code of the
calling party.
>=0, -1, 0 or 9999 means unknown.
The default value is 0.
Can be null"
45,Reserved,BAGPP_SGSN_MCC_MNC,Char[20],-
46,Reserved,BAGPP_USER_LOCATION,Char[20],-
47,Reserved,RESERVE_NULL,Char[20],-
48,Reserved,RESERVE_NULL,Char[20],-
49,Reserved,RESERVE_NULL,Char[20],-
50,Reserved,RATING_GROUP_CDR,Char[20],-
51,ProductID,PRICE_PLAN_ID,Char[20],"Indicates the last effect rating product.
Can be null"
52,ServiceType,RESERVE_0,Char[20],Reserved
53,Reserved,RESERVE_NULL,Char[20],-
54,HomeZoneID,HOME_ZONE_ID,Integer[4],"Indicates the home zone ID.
When a subscriber enjoys the home zone
discount, the value of this field is the home
zone ID of the area where the subscriber
currently locates.
The default value is 0.
Can be null"
55,UserState,USER_STATE,Char[10],"Indicates the life cycle state and the
management state of a subscriber.
The UserState parameter is a numeric string
of seven digits, in the format CCMMMMM.
The first and second digits C indicate the life
cycle state of a subscriber. The first digit C
indicates the state of a prepaid subscriber,
and the second digit C indicates the state of
a postpaid subscriber. The options are as
follows:
??0: Idle
??1: Active
??2: Suspended
??3: Disable
??4: Pool
??5: Pool without activation
The next five digits MMMMM indicate the
management state of a subscriber. The
options are as follows:
Third digit: Whether the subscriber claims
missing.
??0: no
??1: yes
Fourth digit: Whether the subscriber
suspends the service.
??0: non-suspend
??1: suspend
??2: suspend by operator (B1W)
??3: suspend by operator (B2W)
Fifth digit: Whether the subscriber applies
for suspension with the number being
reserved.
??0: no
??1: yes
Sixth digit: Whether the subscriber is
blocked.
??0: no
??1: yes
Seventh digit: Whether the subscriber is
blacklisted.
??0: no
??1: yes
Can be null"
56,SubscriberID,SUB_ID,Char[20],"Indicates the subscriber ID.
Value range: characters in [0-9, a-z, A-Z]
Can be null"
57,ChargeDuration,CHARGE_DURATION,Integer[4],"Indicates the charge duration.
Unit: second
Not null
The default value is 0."
58,TotalChargeFlux,BYTES,Integer[8],"Indicates total charging traffic.
Unit: byte
Not null
The default value is 0."
59,Reserved,RESERVE_NULL,Char[20],-
60,Reserved,RESERVE_NULL,Char[20],-
61,ChargeOfFluxAccounts,CHARGE_OF_FLUX_ACOUNT,Integer[8],"Indicates the free flux used.
Value range: -2^63-2^63-1

Not null
The default value is 0."
